track len: 1
codec: 0x1005
time: 44.640415, note: 1.4842681
time: 44.700417, note: 1.2061584
time: 44.76583, note: 0.842559
time: 44.834, note: 0.82555044
time: 44.885834, note: 0.6846436
time: 44.940414, note: 1.1756314
time: 45.0005, note: 0.5509917
time: 45.0605, note: 0.7945225
time: 45.1205, note: 0.99614865
time: 45.1805, note: 0.78047997
time: 45.3005, note: 1.3804796
time: 45.360416, note: 1.1817758
time: 45.420418, note: 1.4665322
time: 45.4805, note: 0.8351003
time: 45.5405, note: 1.0152546
time: 45.600414, note: 1.3476666
time: 45.6605, note: 0.5982164
time: 45.720417, note: 0.689345
time: 45.7805, note: 1.2645621
time: 45.840416, note: 1.210306
time: 45.9005, note: 0.60927486
time: 45.960415, note: 1.3091669
time: 46.0205, note: 0.88111717
time: 46.08058, note: 0.59706056
time: 46.140415, note: 1.0064828
time: 46.205833, note: 1.1172303
time: 46.260498, note: 1.2717154
time: 46.320415, note: 1.2737005
time: 46.3805, note: 0.70486265
time: 46.440414, note: 1.3453825
time: 46.5005, note: 0.7991791
time: 46.5605, note: 1.0173293
time: 46.620415, note: 1.2394469
time: 46.685833, note: 1.0376966
time: 46.740917, note: 0.86475456
time: 46.800415, note: 1.1798736
time: 46.860416, note: 1.1782532
time: 46.920498, note: 0.5751023
time: 46.980415, note: 1.2173064
time: 47.0405, note: 0.5699035
time: 47.20125, note: 0.9249615
time: 47.260582, note: 0.95474464
time: 47.3205, note: 0.52096367
time: 47.380417, note: 1.3727033
time: 47.4405, note: 0.8442036
time: 47.49158, note: 1.061847
time: 47.54575, note: 1.4050239
time: 47.600414, note: 0.95175165
time: 47.65375, note: 0.75780195
time: 47.720417, note: 1.4189767
time: 47.780415, note: 1.4129633
time: 47.840416, note: 1.2312051
time: 47.9005, note: 0.7271315
time: 47.9605, note: 0.6799308
time: 48.0205, note: 0.65817106
time: 48.080498, note: 1.0418676
time: 48.135166, note: 1.1910133
time: 48.200333, note: 1.4956043
time: 48.260498, note: 0.62377524
time: 48.320415, note: 1.4576775
time: 48.3805, note: 0.5003004
time: 48.440582, note: 0.96100676
time: 48.6405, note: 1.2040102
time: 48.700417, note: 1.3360916
time: 48.760498, note: 0.7732095
time: 48.820415, note: 0.727967
time: 48.880417, note: 1.1005569
time: 48.940414, note: 1.0882317
time: 48.992416, note: 0.81693363
time: 49.045834, note: 1.0946974
time: 49.100334, note: 1.3155909
time: 49.151165, note: 1.3321015
time: 49.205833, note: 0.5774771
time: 49.260418, note: 1.4266307
time: 49.340668, note: 1.0385633
time: 49.40058, note: 1.2480203
time: 49.4605, note: 1.1840161
time: 49.525833, note: 0.71441805
time: 49.620583, note: 0.83232605
time: 49.820667, note: 1.2978508
time: 49.880417, note: 1.1282549
time: 49.940414, note: 1.4037937
time: 50.000416, note: 1.3919146
time: 50.0605, note: 0.63481104
time: 50.120415, note: 1.376919
time: 50.180416, note: 1.2207503
time: 50.240417, note: 1.4668422
time: 50.300415, note: 1.3064471
time: 50.353085, note: 0.7520095
time: 50.405834, note: 0.920435
time: 50.4605, note: 0.57980335
time: 50.520416, note: 1.4148624
time: 50.580418, note: 1.0539612
time: 50.6405, note: 0.7663852
time: 50.700417, note: 1.492382
time: 50.760498, note: 0.75122505
time: 50.8205, note: 0.733431
time: 50.8805, note: 0.58654964
time: 50.9405, note: 0.9245318
time: 51.000416, note: 1.2318352
time: 51.060333, note: 1.2444893
time: 51.120415, note: 1.1293187
time: 51.180584, note: 0.9835486
time: 51.245834, note: 1.0562717
time: 51.940582, note: 1.1313101
time: 52.020416, note: 1.1401445
time: 52.080498, note: 0.7259153
time: 52.140415, note: 1.2785668
time: 52.2005, note: 0.6079309
time: 52.260498, note: 0.62524927
time: 52.320415, note: 1.4333367
time: 52.440666, note: 0.58089995
time: 52.500416, note: 1.2387012
time: 52.560417, note: 1.2841837
time: 52.620415, note: 1.2860452
time: 52.680416, note: 1.4510026
time: 52.740417, note: 1.4059154
